,AGENT COLOR,OUTCOME,N STEPS,AGENT PIECES,OPPONENT PIECES,EPISODE,pawn,horse,knight,rook,queen,king
168,WHITE,LOSS,12,16,10,84,5,1,1,2,0,1
169,BLACK,LOSS,12,11,16,84,8,2,2,2,1,1
170,WHITE,LOSS,18,13,8,85,4,0,1,2,0,1
171,BLACK,LOSS,19,11,15,85,7,2,2,2,1,1
172,WHITE,LOSS,27,16,9,86,4,1,2,1,0,1
173,BLACK,LOSS,11,12,16,86,8,2,2,2,1,1
174,WHITE,LOSS,19,14,9,87,5,1,1,1,0,1
175,BLACK,LOSS,43,5,14,87,6,2,1,2,2,1
176,WHITE,LOSS,39,12,5,88,3,0,0,1,0,1
177,BLACK,LOSS,29,4,14,88,6,3,1,2,1,1
178,WHITE,LOSS,29,14,4,89,1,0,1,1,0,1
179,BLACK,LOSS,18,11,14,89,7,1,2,2,1,1
180,WHITE,LOSS,16,14,11,90,5,2,1,2,0,1
181,BLACK,LOSS,18,11,14,90,7,2,2,1,1,1
182,WHITE,LOSS,8,15,14,91,7,2,2,2,0,1
183,BLACK,LOSS,12,8,15,91,6,2,2,2,2,1
184,WHITE,LOSS,24,13,8,92,4,0,1,2,0,1
185,BLACK,LOSS,13,14,16,92,8,2,2,2,1,1
186,WHITE,LOSS,8,16,13,93,6,1,2,2,1,1
187,BLACK,LOSS,17,9,15,93,7,2,2,2,1,1
188,WHITE,LOSS,12,16,10,94,5,1,1,2,0,1
189,BLACK,LOSS,13,9,16,94,7,2,2,2,2,1
190,WHITE,LOSS,25,13,10,95,5,2,1,1,0,1
191,BLACK,LOSS,6,15,16,95,8,2,2,2,1,1
192,WHITE,LOSS,22,14,8,96,4,1,1,1,0,1
193,BLACK,LOSS,23,8,15,96,7,2,2,2,1,1
194,WHITE,LOSS,15,16,10,97,4,2,1,2,0,1
195,BLACK,LOSS,20,11,16,97,8,2,2,2,1,1
196,WHITE,LOSS,12,16,13,98,7,2,1,2,0,1
197,BLACK,LOSS,17,10,15,98,7,2,2,2,1,1
198,WHITE,LOSS,17,16,12,99,6,2,1,2,0,1
199,BLACK,LOSS,34,4,12,99,5,2,2,2,0,1
200,WHITE,LOSS,19,15,9,100,6,0,1,1,0,1
201,BLACK,LOSS,16,12,14,100,7,1,2,2,1,1
202,WHITE,LOSS,23,15,9,101,6,1,0,1,0,1
203,BLACK,LOSS,31,9,15,101,8,1,2,2,1,1
204,WHITE,LOSS,21,16,9,102,4,1,1,2,0,1
205,BLACK,LOSS,13,11,15,102,7,2,2,2,1,1
206,WHITE,LOSS,13,15,12,103,6,2,1,2,0,1
207,BLACK,LOSS,9,14,16,103,8,2,2,2,1,1
208,WHITE,LOSS,18,15,12,104,6,2,1,2,0,1
209,BLACK,LOSS,15,13,14,104,6,2,2,2,1,1
210,WHITE,LOSS,15,16,12,105,7,1,1,1,1,1
211,BLACK,LOSS,32,7,13,105,5,2,2,2,1,1
212,WHITE,LOSS,23,15,10,106,5,2,0,2,0,1
213,BLACK,LOSS,10,12,16,106,8,2,2,2,1,1
214,WHITE,LOSS,16,16,8,107,5,0,1,1,0,1
215,BLACK,LOSS,26,8,14,107,7,1,2,2,1,1
216,WHITE,LOSS,19,16,10,108,6,1,1,1,0,1
217,BLACK,LOSS,11,12,16,108,7,3,2,2,1,1
218,WHITE,LOSS,21,16,7,109,4,2,0,0,0,1
219,BLACK,LOSS,11,9,14,109,6,2,2,2,1,1
220,WHITE,LOSS,19,15,11,110,5,2,1,2,0,1
221,BLACK,LOSS,14,12,15,110,7,2,2,2,1,1
222,WHITE,LOSS,19,15,8,111,6,1,0,0,0,1
223,BLACK,LOSS,16,10,16,111,8,2,2,2,1,1
224,WHITE,LOSS,17,15,9,112,5,1,0,2,0,1
225,BLACK,LOSS,28,9,15,112,8,1,2,2,1,1
226,WHITE,LOSS,14,16,12,113,6,2,2,1,0,1
227,BLACK,LOSS,12,11,15,113,7,2,2,2,1,1
228,WHITE,LOSS,25,14,7,114,4,0,1,1,0,1
229,BLACK,LOSS,8,14,16,114,8,2,2,2,1,1
230,WHITE,LOSS,22,15,10,115,5,2,0,2,0,1
231,BLACK,LOSS,22,10,14,115,6,2,2,2,1,1
232,WHITE,LOSS,20,15,11,116,5,2,1,2,0,1
233,BLACK,LOSS,16,11,16,116,8,2,2,2,1,1
234,WHITE,LOSS,12,15,10,117,5,1,2,1,0,1
235,BLACK,LOSS,20,10,15,117,7,2,2,2,1,1
236,WHITE,LOSS,12,14,10,118,4,1,2,2,0,1
237,BLACK,LOSS,30,11,15,118,7,2,2,2,1,1
238,WHITE,LOSS,9,16,11,119,6,1,1,1,1,1
239,BLACK,LOSS,10,12,16,119,8,2,2,2,1,1
240,WHITE,LOSS,19,15,8,120,3,1,2,1,0,1
241,BLACK,LOSS,24,9,15,120,7,2,2,2,1,1
242,WHITE,LOSS,13,16,9,121,5,0,1,2,0,1
243,BLACK,LOSS,8,15,16,121,8,2,2,2,1,1
244,WHITE,LOSS,21,13,9,122,6,1,0,1,0,1
245,BLACK,LOSS,28,11,14,122,6,2,2,2,1,1
246,WHITE,LOSS,16,16,11,123,4,1,2,2,1,1
247,BLACK,LOSS,23,10,14,123,7,1,2,2,1,1
248,WHITE,LOSS,8,16,14,124,6,2,2,2,1,1
249,BLACK,LOSS,26,7,16,124,8,2,2,2,1,1
250,WHITE,LOSS,28,14,6,125,3,0,1,1,0,1
251,BLACK,LOSS,27,12,16,125,8,2,2,2,1,1
252,WHITE,LOSS,21,14,9,126,4,2,1,1,0,1
253,BLACK,LOSS,19,10,14,126,7,1,2,2,1,1
254,WHITE,LOSS,12,15,13,127,6,2,2,2,0,1
255,BLACK,LOSS,12,13,16,127,8,2,2,2,1,1
256,WHITE,LOSS,24,14,7,128,6,0,0,0,0,1
257,BLACK,LOSS,19,9,15,128,8,1,2,2,1,1
258,WHITE,LOSS,13,16,10,129,5,1,1,2,0,1
259,BLACK,LOSS,12,10,14,129,7,2,1,2,1,1
260,WHITE,LOSS,15,16,11,130,5,2,1,2,0,1
261,BLACK,LOSS,28,12,14,130,6,2,2,2,1,1
262,WHITE,LOSS,27,15,8,131,4,1,1,1,0,1
263,BLACK,LOSS,20,11,16,131,8,2,2,2,1,1
264,WHITE,LOSS,16,16,9,132,5,1,1,1,0,1
265,BLACK,LOSS,18,8,15,132,6,2,2,3,1,1
266,WHITE,LOSS,32,14,7,133,4,1,0,1,0,1
267,BLACK,LOSS,20,12,14,133,7,2,1,2,1,1
268,WHITE,LOSS,19,13,11,134,6,1,1,2,0,1
269,BLACK,LOSS,20,9,15,134,7,2,2,2,1,1
270,WHITE,LOSS,18,13,9,135,5,1,1,1,0,1
271,BLACK,LOSS,22,9,15,135,7,2,2,2,1,1
272,WHITE,LOSS,19,14,10,136,5,1,1,2,0,1
273,BLACK,LOSS,25,10,13,136,6,2,1,2,1,1
274,WHITE,LOSS,11,16,10,137,6,1,1,1,0,1
275,BLACK,LOSS,29,7,15,137,8,1,2,2,1,1
276,WHITE,LOSS,12,15,10,138,5,1,1,2,0,1
277,BLACK,LOSS,28,8,15,138,7,2,2,2,1,1
278,WHITE,LOSS,19,13,14,139,7,2,1,2,1,1
279,BLACK,LOSS,17,10,15,139,7,2,2,2,1,1
280,WHITE,LOSS,16,15,11,140,6,1,1,2,0,1
281,BLACK,LOSS,7,14,16,140,8,2,2,2,1,1
282,WHITE,LOSS,26,14,10,141,5,2,0,2,0,1
283,BLACK,LOSS,22,10,15,141,7,2,2,2,1,1
284,WHITE,LOSS,23,14,13,142,8,1,1,2,0,1
285,BLACK,LOSS,13,12,16,142,8,2,2,2,1,1
286,WHITE,LOSS,17,16,13,143,7,2,1,2,0,1
287,BLACK,LOSS,22,9,15,143,7,2,2,2,1,1
288,WHITE,LOSS,23,13,8,144,4,1,0,2,0,1
289,BLACK,LOSS,28,11,16,144,7,2,2,3,1,1
290,WHITE,LOSS,11,15,13,145,6,2,1,2,1,1
291,BLACK,LOSS,26,4,15,145,7,2,2,2,1,1
292,WHITE,LOSS,17,16,12,146,7,1,1,1,1,1
293,BLACK,LOSS,11,12,16,146,8,2,2,2,1,1
294,WHITE,LOSS,13,16,10,147,5,2,1,1,0,1
295,BLACK,LOSS,14,13,15,147,7,2,2,2,1,1
296,WHITE,LOSS,14,16,11,148,5,2,1,2,0,1
297,BLACK,LOSS,26,8,16,148,8,2,2,2,1,1
298,WHITE,LOSS,15,16,11,149,5,2,1,2,0,1
299,BLACK,LOSS,15,11,15,149,7,2,2,2,1,1
300,WHITE,LOSS,17,13,9,150,5,2,0,1,0,1
