,AGENT COLOR,OUTCOME,N STEPS,AGENT PIECES,OPPONENT PIECES,EPISODE,pawn,horse,knight,rook,queen,king
1288,WHITE,LOSS,20,15,11,800,6,1,1,2,0,1
1289,BLACK,LOSS,11,13,15,800,7,2,2,2,1,1
1290,WHITE,LOSS,26,16,8,800,4,2,0,1,0,1
1291,BLACK,LOSS,25,8,15,800,7,2,2,2,1,1
1292,WHITE,LOSS,28,15,8,800,3,0,1,2,1,1
1293,BLACK,LOSS,17,10,15,800,8,2,1,2,1,1
1294,WHITE,LOSS,16,16,14,800,7,1,2,2,1,1
1295,BLACK,LOSS,16,10,13,800,6,2,1,2,1,1
1296,WHITE,LOSS,29,15,10,800,5,1,1,2,0,1
1297,BLACK,LOSS,12,14,14,800,6,2,2,2,1,1
1298,WHITE,LOSS,37,16,9,800,5,1,0,1,1,1
1299,BLACK,LOSS,15,11,14,800,7,2,1,2,1,1
1300,WHITE,LOSS,31,14,6,800,2,1,1,1,0,1
1301,BLACK,LOSS,13,10,14,800,7,1,2,2,1,1
1302,WHITE,LOSS,16,14,9,800,5,1,0,2,0,1
1303,BLACK,LOSS,22,7,15,800,7,2,2,2,1,1
1304,WHITE,LOSS,10,16,11,800,6,2,0,2,0,1
1305,BLACK,LOSS,12,13,15,800,7,2,2,2,1,1
1306,WHITE,LOSS,28,15,8,800,4,0,1,2,0,1
1307,BLACK,LOSS,20,10,15,800,7,2,2,2,1,1
1308,WHITE,LOSS,45,15,11,800,6,2,1,1,0,1
1309,BLACK,LOSS,19,7,14,800,7,1,2,2,1,1
1310,WHITE,LOSS,17,15,10,800,6,2,0,1,0,1
1311,BLACK,LOSS,15,12,13,800,5,2,2,2,1,1
1312,WHITE,LOSS,27,15,12,800,6,2,1,2,0,1
1313,BLACK,LOSS,13,12,14,800,7,1,2,2,1,1
1314,WHITE,LOSS,13,16,14,800,7,2,2,2,0,1
1315,BLACK,LOSS,17,11,15,800,6,2,2,2,2,1
1316,WHITE,LOSS,20,15,9,800,5,1,1,1,0,1
1317,BLACK,LOSS,15,11,16,800,7,2,2,2,2,1
1318,WHITE,LOSS,27,16,7,800,4,0,1,1,0,1
1319,BLACK,LOSS,36,11,15,800,6,2,2,2,2,1
1320,WHITE,LOSS,23,15,12,800,6,2,1,2,0,1
1321,BLACK,LOSS,27,7,13,800,7,1,2,2,0,1
1322,WHITE,LOSS,23,16,10,800,4,0,2,2,1,1
1323,BLACK,LOSS,12,12,15,800,7,2,2,2,1,1
1324,WHITE,LOSS,22,16,10,800,5,1,1,2,0,1
1325,BLACK,LOSS,24,7,13,800,7,1,1,2,1,1
1326,WHITE,LOSS,33,14,8,800,4,1,1,1,0,1
1327,BLACK,LOSS,12,11,14,800,7,1,2,2,1,1
1328,WHITE,LOSS,21,15,9,800,3,1,1,2,1,1
1329,BLACK,LOSS,8,14,14,800,7,2,1,2,1,1
1330,WHITE,LOSS,30,16,9,800,5,1,0,2,0,1
1331,BLACK,LOSS,14,11,15,800,7,2,2,2,1,1
1332,WHITE,LOSS,26,14,8,800,4,1,1,1,0,1
1333,BLACK,LOSS,16,10,14,800,6,2,2,2,1,1
1334,WHITE,LOSS,20,15,10,800,5,1,1,2,0,1
1335,BLACK,LOSS,19,9,14,800,6,2,2,2,1,1
1336,WHITE,LOSS,22,13,11,800,6,1,1,2,0,1
1337,BLACK,LOSS,16,11,15,800,7,1,2,2,2,1
1338,WHITE,LOSS,18,16,10,800,6,0,2,1,0,1
1339,BLACK,LOSS,25,6,15,800,7,2,2,2,1,1
