,AGENT COLOR,OUTCOME,N STEPS,AGENT PIECES,OPPONENT PIECES,EPISODE,pawn,horse,knight,rook,queen,king
184,WHITE,DRAW,20,10,14,92,6,2,2,2,1,1
185,BLACK,LOSS,3,14,16,92,8,2,2,2,1,1
186,WHITE,DRAW,8,14,16,93,8,2,2,2,1,1
187,BLACK,LOSS,16,11,15,93,7,2,2,2,1,1
188,WHITE,DRAW,11,16,16,94,8,2,2,2,1,1
189,BLACK,LOSS,19,14,15,94,7,2,2,2,1,1
190,WHITE,DRAW,15,11,15,95,8,1,2,2,1,1
191,BLACK,LOSS,17,12,15,95,7,2,2,2,1,1
192,WHITE,DRAW,19,11,14,96,7,1,2,2,1,1
193,BLACK,LOSS,18,12,16,96,8,2,2,2,1,1
194,WHITE,LOSS,25,12,13,97,6,1,2,2,1,1
195,BLACK,LOSS,17,10,15,97,7,2,2,2,1,1
196,WHITE,LOSS,22,7,13,98,6,1,2,2,1,1
197,BLACK,LOSS,27,10,15,98,6,2,2,3,1,1
198,WHITE,DRAW,15,11,15,99,8,1,2,2,1,1
199,BLACK,LOSS,14,10,14,99,7,2,1,2,1,1
200,WHITE,DRAW,7,14,15,100,7,2,2,2,1,1
201,BLACK,LOSS,11,11,16,100,7,3,2,2,1,1
202,WHITE,DRAW,15,13,15,101,7,2,2,2,1,1
203,BLACK,LOSS,15,9,14,101,6,2,2,2,1,1
204,WHITE,DRAW,21,10,12,102,4,2,2,2,1,1
205,BLACK,LOSS,13,10,16,102,7,2,2,2,2,1
206,WHITE,LOSS,19,12,14,103,6,2,2,2,1,1
207,BLACK,LOSS,26,7,15,103,8,1,2,2,1,1
208,WHITE,DRAW,16,12,15,104,7,2,2,2,1,1
209,BLACK,LOSS,23,11,12,104,5,1,2,2,1,1
210,WHITE,DRAW,21,13,16,105,8,2,2,2,1,1
211,BLACK,LOSS,16,12,15,105,8,1,2,2,1,1
212,WHITE,DRAW,15,13,15,106,8,2,1,2,1,1
213,BLACK,LOSS,17,12,14,106,6,2,2,2,1,1
214,WHITE,LOSS,13,13,15,107,7,2,2,2,1,1
215,BLACK,LOSS,16,10,16,107,8,2,2,2,1,1
216,WHITE,LOSS,19,9,13,108,5,2,2,2,1,1
217,BLACK,LOSS,13,13,15,108,7,2,2,2,1,1
218,WHITE,LOSS,13,11,15,109,7,2,2,2,1,1
219,BLACK,LOSS,28,10,14,109,6,1,2,2,2,1
220,WHITE,DRAW,18,8,14,110,6,1,2,2,2,1
221,BLACK,LOSS,8,14,16,110,8,2,2,2,1,1
222,WHITE,LOSS,30,4,14,111,7,2,1,2,1,1
223,BLACK,LOSS,8,14,16,111,8,2,2,2,1,1
224,WHITE,DRAW,16,12,15,112,8,1,2,2,1,1
225,BLACK,LOSS,22,10,16,112,8,2,2,2,1,1
226,WHITE,DRAW,13,75,15,113,7,2,2,2,1,1
227,BLACK,LOSS,9,13,15,113,7,2,2,2,1,1
228,WHITE,LOSS,17,12,14,114,6,2,2,2,1,1
229,BLACK,LOSS,17,12,16,114,8,2,2,2,1,1
230,WHITE,DRAW,17,10,15,115,7,2,2,2,1,1
231,BLACK,LOSS,23,10,12,115,6,1,1,2,1,1
232,WHITE,DRAW,12,12,16,116,8,2,2,2,1,1
233,BLACK,LOSS,25,8,14,116,6,2,1,2,2,1
234,WHITE,LOSS,9,15,15,117,7,2,2,2,1,1
235,BLACK,LOSS,19,8,15,117,8,2,1,2,1,1
236,WHITE,LOSS,18,9,13,118,7,1,1,2,1,1
237,BLACK,LOSS,11,13,15,118,7,2,2,2,1,1
238,WHITE,DRAW,30,10,14,119,6,2,2,2,1,1
239,BLACK,LOSS,13,12,15,119,7,2,2,2,1,1
240,WHITE,DRAW,15,12,14,120,7,2,2,2,0,1
241,BLACK,DRAW,13,15,15,120,8,1,2,2,1,1
242,WHITE,DRAW,12,15,15,121,8,2,2,2,0,1
243,BLACK,LOSS,10,15,16,121,8,2,2,2,1,1
244,WHITE,LOSS,23,11,14,122,6,2,2,2,1,1
245,BLACK,LOSS,11,13,16,122,8,2,2,2,1,1
246,WHITE,DRAW,20,11,14,123,7,2,1,2,1,1
247,BLACK,LOSS,17,11,14,123,6,2,2,2,1,1
248,WHITE,DRAW,12,14,16,124,8,2,2,2,1,1
249,BLACK,LOSS,11,15,16,124,8,2,2,2,1,1
250,WHITE,DRAW,8,15,16,125,8,2,2,2,1,1
251,BLACK,LOSS,23,9,14,125,7,2,1,2,1,1
252,WHITE,DRAW,14,10,15,126,6,3,2,2,1,1
253,BLACK,LOSS,17,9,15,126,7,2,2,2,1,1
254,WHITE,DRAW,34,10,15,127,7,2,2,2,1,1
255,BLACK,LOSS,33,10,15,127,8,1,2,2,1,1
256,WHITE,DRAW,17,10,15,128,8,1,2,2,1,1
257,BLACK,LOSS,9,11,16,128,8,2,2,2,1,1
258,WHITE,DRAW,12,13,16,129,8,2,2,2,1,1
259,BLACK,LOSS,23,8,14,129,7,2,1,2,1,1
260,WHITE,DRAW,16,11,15,130,7,2,2,2,1,1
261,BLACK,LOSS,16,9,15,130,8,1,2,2,1,1
262,WHITE,LOSS,17,10,14,131,6,2,2,2,1,1
263,BLACK,LOSS,15,10,16,131,7,2,2,2,2,1
264,WHITE,LOSS,10,15,15,132,7,2,2,2,1,1
265,BLACK,LOSS,30,10,14,132,7,2,1,2,1,1
266,WHITE,DRAW,20,11,13,133,6,1,2,2,1,1
267,BLACK,LOSS,21,10,16,133,8,2,2,2,1,1
268,WHITE,DRAW,45,9,12,134,7,0,2,1,1,1
269,BLACK,LOSS,18,11,13,134,6,1,2,2,1,1
270,WHITE,DRAW,16,11,14,135,6,2,2,2,1,1
271,BLACK,LOSS,12,14,15,135,8,1,2,2,1,1
272,WHITE,DRAW,13,11,16,136,8,2,2,2,1,1
273,BLACK,LOSS,7,13,16,136,8,2,2,2,1,1
274,WHITE,DRAW,4,16,16,137,8,2,2,2,1,1
275,BLACK,LOSS,16,11,14,137,7,1,2,2,1,1
276,WHITE,DRAW,27,9,16,138,8,2,2,2,1,1
277,BLACK,LOSS,5,14,16,138,8,2,2,2,1,1
278,WHITE,DRAW,14,12,15,139,7,2,2,2,1,1
279,BLACK,LOSS,9,14,15,139,7,2,2,2,1,1
280,WHITE,DRAW,11,12,16,140,8,2,2,2,1,1
281,BLACK,LOSS,19,10,15,140,8,1,2,2,1,1
282,WHITE,DRAW,12,13,16,141,8,2,2,2,1,1
283,BLACK,LOSS,11,10,16,141,7,2,2,2,2,1
284,WHITE,DRAW,20,14,15,142,7,2,2,2,1,1
285,BLACK,LOSS,7,14,16,142,8,2,2,2,1,1
286,WHITE,DRAW,20,9,14,143,7,2,2,1,1,1
287,BLACK,LOSS,13,14,16,143,8,2,2,2,1,1
288,WHITE,DRAW,17,10,14,144,7,2,1,2,1,1
289,BLACK,LOSS,9,13,16,144,8,2,2,2,1,1
290,WHITE,LOSS,16,11,13,145,5,2,2,2,1,1
291,BLACK,LOSS,35,8,13,145,6,2,2,2,0,1
292,WHITE,DRAW,19,12,15,146,7,2,2,2,1,1
293,BLACK,LOSS,15,12,16,146,8,2,2,2,1,1
294,WHITE,DRAW,9,16,16,147,8,2,2,2,1,1
295,BLACK,LOSS,23,7,15,147,7,2,2,2,1,1
296,WHITE,DRAW,16,11,13,148,6,1,2,2,1,1
297,BLACK,LOSS,20,13,15,148,7,2,2,2,1,1
298,WHITE,DRAW,7,14,15,149,7,2,2,2,1,1
299,BLACK,LOSS,14,10,16,149,8,2,2,2,1,1
300,WHITE,DRAW,20,11,15,150,7,2,2,2,1,1
301,BLACK,LOSS,16,11,14,150,6,2,2,2,1,1
302,WHITE,DRAW,23,6,15,151,7,2,2,2,1,1
303,BLACK,LOSS,21,6,15,151,8,2,1,2,1,1
304,WHITE,LOSS,14,15,14,152,7,1,2,2,1,1
305,BLACK,LOSS,18,11,15,152,8,1,2,2,1,1
306,WHITE,DRAW,10,14,16,153,8,2,2,2,1,1
307,BLACK,LOSS,22,11,13,153,7,2,2,1,0,1
308,WHITE,DRAW,13,13,16,154,8,2,2,2,1,1
309,BLACK,LOSS,16,12,16,154,8,2,2,2,1,1
310,WHITE,DRAW,19,11,15,155,8,1,2,2,1,1
311,BLACK,LOSS,20,9,15,155,8,1,2,2,1,1
312,WHITE,DRAW,21,8,15,156,8,2,1,2,1,1
313,BLACK,LOSS,14,8,15,156,7,2,1,2,2,1
314,WHITE,DRAW,13,12,15,157,7,2,2,2,1,1
